рыб, рыбь
сосул, сосуль
полост, полость
отороп, оторопь
обезьян, обезьянь
выс, высь
лопаст, лопасть
хляб, хлябь
лоб, лобь
вертел, вертель
вороб, воробь
шпил, шпиль
галл, галль
минерал, минераль
богадел, богадель
пес, песь
мытар, мытарь
пудел, пудель
анди, андий
бразил, бразиль
област, область
омул, омуль
доблест, доблесть
рыцар, рыцарь
фраки, фракий
тетрад, тетрадь
произвол, произволь
шевел, шевель
хмел, хмель
кул, куль
мочал, мочаль
кудел, кудель
завист, зависть
вишен, вишень
церков, церковь
штапел, штапель
кардинал, кардиналь
параллел, параллель
эпители, эпителий
кист, кисть
стебел, стебель
гондол, гондоль
медвеж, медвежь, медвед, медведь
станци, станций
минускул, минускуль
карнавал, карнаваль
фабул, фабуль
рол, роль
сып, сыпь
ухар, ухарь
пупыр, пупырь
свад, свадь
оруди, орудий
зол, золь, зал, заль
финал, финаль
клубен, клубень
ост, ость
тул, туль
эмал, эмаль
калори, калорий
вассал, вассаль
курен, курень
стихи, стихий
контаги, контагий
костел, костель
авари, аварий
кастрюл, кастрюль
квартир, квартирь
ретуш, ретушь
копыл, копыль
флигел, флигель
степ, степь
роял, рояль
каракул, каракуль
увол, уволь
дул, дуль
когот, коготь
лял, ляль
приязн, приязнь
стержен, стержень
исповед, исповедь
площад, площадь
крамол, крамоль
карел, карель
макрел, макрель
лопар, лопарь
ведомост, ведомость
мастер, мастерь
син, синь, сен, сень
гран, грань
опал, опаль
декабр, декабрь
гангли, ганглий
чернил, черниль
монгол, монголь
коллоди, коллодий
ненаст, ненасть
стат, стать
крохал, крохаль
картвел, картвель
товар, товарь
непал, непаль
поршен, поршень
индонези, индонезий
боливи, боливий
челюст, челюсть
обил, обиль
кукол, куколь
легал, легаль
ел, ель
церемони, церемоний
лодыр, лодырь
сомали, сомалий
симфон, симфонь
борон, боронь
лосос, лосось
капел, капель
рыл, рыль
картел, картель
синел, синель
гогол, гоголь
циркул, циркуль
колокол, колоколь
пял, пяль
цифир, цифирь
форел, форель
бельги, бельгий
ковыл, ковыль
молот, молоть
аллюви, аллювий
шал, шаль
власт, власть
двер, дверь
щуп, щупь
ягел, ягель
лесби, лесбий
печал, печаль
желт, желть
увеч, увечь
саксаул, саксауль
захолуст, захолусть
арсенал, арсеналь
мишен, мишень
тол, толь, тал, таль
сват, свать
недел, недель
генерал, генераль
студи, студий
замби, замбий
камед, камедь
пряч, прячь
фланел, фланель
компенди, компендий
грузд, груздь
факел, факель
канифол, канифоль
пят, пять
гортан, гортань
батал, баталь
одеял, одеяль
дизел, дизель
люд, людь
гаван, гавань
сыр, сырь
пил, пиль
ненавист, ненависть
кис, кись
пепел, пепель
вакуол, вакуоль
батыр, батырь
гури, гурий
щегол, щеголь
глазур, глазурь
караул, карауль
кени, кений
лохан, лохань
сокол, соколь
лин, линь, лен, лень
мари, марий
зеркал, зеркаль
либерал, либераль
гус, гусь
профил, профиль
фиксол, фиксоль
октябр, октябрь
ансамбл, ансамбль
контрол, контроль
подвал, подваль
плесен, плесень
клюв, клювь
сири, сирий, сери, серий
перил, периль
нуби, нубий
глагол, глаголь
поди, подий
гост, гость
восем, восемь
седел, седель
клерикал, клерикаль
потенциал, потенциаль
парти, партий
дур, дурь
грозд, гроздь
флоренти, флорентий
начал, началь
ос, ось
удал, удаль
урал, ураль
полын, полынь
планшир, планширь
патрул, патруль
тел, тель
январ, январь
канител, канитель
солов, соловь
ус, усь
утил, утиль
фонар, фонарь
плеч, плечь
лар, ларь
денеж, денежь
паперт, паперть
камби, камбий
англи, англий
ят, ять
квартал, кварталь
станиол, станиоль
тамил, тамиль
провок, провоц
венгр, венгер
траль, траул
коллег, коллеж
стул, стуль
мышьяк, мышьяч
башн, башен
этик, этич
артель, артел
мебель, мебел
антенн, антен
книг, книж
оригинал, оригиналь
бенефис, бенефит, бенефиц
вентил, вентиль
сут, сущ
коре, корей
абстракт, абстракц
акварель, акварел
гром, громл
структ, струкц
тыл, тыль
табак, табач
геро, герой, герои
котел, котл
вертикал, вертикаль
ангел, ангель
текстил, текстиль
брюк, брюч
мозол, мозоль
глуб, глубл
ядер, ядр
модел, модель
протект, протекц
журнал, журналь
барсук, барсуч
узел, узл
щербл, щерб
стру, струй
батаре, батарей
шут, шутл
скандал, скандаль
модул, модуль
министр, министер
вихр, вихор
стерил, стериль
объем, объемл
счастл, счаст
диагонал, диагональ
гипотез, гипотет
бедр, бедер
внук, внуч
резидент, резиденц
опи, опий, опиум
долб, далбл, долбл
рек, реч, риц
ствол, стволь
бумаг, бумаж
черкес, черкеш
огн, огон, огонь
ногот, ногт
гнев, гневл
хорош, хораш
овес, овс
знак, знач
свобод, свобожд
бандероль, бандерол
паралит, парализ, паралич
враг, враж, вражд
шелом, шеломл
столб, столбл
бархат, бархот
ваниль, ванил
стабил, стабиль
стран, сторон
блуд, блужд
жул, жуль
шум, шумл
завет, завещ
могил, могиль
баламут, баламуч
колодез, колод, колодц
предел, предель
монарх, монарш
образ, ображ
плод, плож
верблюд, верблюж
стрем, стремл
язык, языч
бутыл, бутыль, бутил
скепс, скепт
медал, медаль
брюх, брюш
аптек, аптеч
магистр, магистер
анализ, аналит
яв, явл
блюд, блюс, блюст
казак, казач
снег, снеж, снед, снедь
бактерий, бактери
ветх, ветш
семей, семь
ари, арий
бриллиант, брильянт
школ, школь, шкал, шкаль
капитал, капиталь
грех, греш
коммуник, коммуниц
весн, весен
грек, греч, грец
досуг, досуж
мораль, морал, марал, мараль
политик, политич
бакале, бакалей
благ, блаж, блажь
мил, миль, мел, мель
молод, молож, молаж
до, дой
убежд, убед
облач, оболоч, облак
мут, мущ
скаль, скал
бюрократ, бюрокрач
подобл, подоб
привет, привеч
